SIZE,FUEL,DISTANCE,DESIBEL,AIRFLOW,FREQUENCY,STATUS
1,gasoline,10,96,0,75,0
1,gasoline,10,96,0,72,1
1,gasoline,10,96,2.6,70,1
1,gasoline,10,96,3.2,68,1
,gasoline,10,109,4.5,67,1
1,gasoline,10,109,7.8,66,1
1,gasoline,10,103,9.7,65,1
1,gasoline,10,95,12,60,1
1,gasoline,10,102,13.3,55,1
1,gasoline,10,93,15.4,52,1
1,gasoline,10,93,15.1,51,1
1,gasoline,10,95,15.2,50,1
1,gasoline,10,110,15.4,48,1
1,gasoline,10,111,15.2,47,1
1,gasoline,10,109,15.4,46,1
1,gasoline,10,105,15.2,45,1
1,gasoline,10,111,16,44,1
1,gasoline,10,110,15.7,42,1
1,gasoline,10,,15.4,40,1
1,,10,111,15.5,38,1
1,gasoline,10,110,15.2,36,1
1,gasoline,10,103,14.9,35,1
1,gasoline,10,109,14.9,34,1
1,gasoline,10,108,14.9,33,1
1,gasoline,10,110,,32,1
1,gasoline,10,109,17,30,1
1,gasoline,10,108,15.5,28,1
1,gasoline,10,108,15.4,27,1
1,gasoline,10,107,15.5,26,1
1,gasoline,10,109,16.6,25,1
1,gasoline,10,,15.2,24,1
1,gasoline,10,108,15.4,23,1
1,gasoline,10,108,15.4,22,1
1,gasoline,10,109,15.2,21,1
1,gasoline,10,,15.7,20,1
1,gasoline,10,108,15.2,19,1
1,gasoline,10,106,15.1,18,1
1,gasoline,10,105,14.5,17,1
1,gasoline,10,105,13.8,16,1
1,gasoline,10,106,14.4,15,1
1,gasoline,10,106,12.3,14,1
1,gasoline,10,93,11.9,13,1
1,gasoline,10,90,11.9,12,1
,gasoline,10,92,12.5,11,1
1,gasoline,10,105,13.8,10,1
1,gasoline,10,91,12.9,9,1
1,gasoline,10,105,12.9,8,1
1,,10,105,12.3,7,1
1,gasoline,10,90,11.8,,1
1,gasoline,10,90,11,5,1
1,gasoline,10,88,8.8,4,1
1,gasoline,10,85,6,3,1
1,gasoline,10,83,3.1,2,1
1,gasoline,10,75,0.8,1,1
1,gasoline,20,96,0,75,0
1,gasoline,20,96,0,72,0
1,gasoline,20,103,1,70,1
1,gasoline,20,107,1.1,68,1
1,gasoline,20,96,4,67,1
1,gasoline,20,105,6.5,66,1
1,gasoline,20,104,7.5,65,1
1,gasoline,20,95,9,60,1
1,gasoline,20,103,12,55,1
1,gasoline,,110,15,52,1
1,gasoline,20,112,14.6,51,1
,gasoline,20,113,15.2,50,1
1,gasoline,20,111,14.9,48,1
1,gasoline,20,110,15.5,47,1
1,gasoline,20,95,16,46,1
1,gasoline,20,95,16.3,45,1
1,gasoline,20,92,16,44,1
1,gasoline,20,92,16,42,1
1,gasoline,20,104,15.5,40,1
1,gasoline,20,90,,38,1
1,gasoline,20,90,15.2,36,1
1,gasoline,20,91,15,35,1
1,gasoline,20,108,15.2,34,1
1,gasoline,20,108,14.8,33,1
1,gasoline,20,90,14.1,32,1
1,gasoline,20,105,13.5,30,1
1,gasoline,20,92,13.3,28,1
1,gasoline,20,88,13.3,27,1
1,,20,106,12.8,26,1
1,,20,106,13.8,25,1
1,gasoline,20,106,13.3,24,1
1,gasoline,20,92,13.8,23,1
1,gasoline,20,91,13.6,22,1
1,gasoline,20,92,13.2,21,1
1,gasoline,20,106,13.2,20,1
1,gasoline,20,92,13.5,19,1
1,gasoline,20,90,13.2,18,1
1,gasoline,20,89,12.8,17,1
1,gasoline,20,92,12.3,16,1
1,gasoline,20,105,12.3,15,1
1,gasoline,20,93,11.5,14,1
1,gasoline,20,91,11.2,13,1
1,gasoline,20,91,11.9,12,1
1,,20,91,11.5,11,1
1,gasoline,20,105,12.3,10,1
1,gasoline,20,92,12,9,1
1,gasoline,20,91,12.2,8,1
1,gasoline,20,90,11.5,7,1
1,gasoline,20,90,11,6,1
1,gasoline,20,100,9.6,5,1
1,gasoline,20,87,7.8,4,1
1,gasoline,20,80,5,3,1
,gasoline,20,78,3.7,2,1
1,gasoline,20,76,1,1,0
1,gasoline,30,106,0,75,0
1,gasoline,30,96,0,72,0
1,gasoline,30,101,0.4,70,1
1,gasoline,30,104,0.4,68,1
1,gasoline,30,96,,67,1
1,gasoline,30,101,5,66,1
1,gasoline,30,103,7,65,1
1,gasoline,30,95,6.5,60,1
1,gasoline,30,,14.4,55,1
1,gasoline,30,107,13.3,52,1
1,,30,107,13.8,51,1
1,gasoline,30,106,14.8,50,1
1,gasoline,30,109,15.4,48,1
1,gasoline,30,111,15.5,47,1
1,gasoline,30,112,16,46,1
1,gasoline,30,110,16,45,1
1,gasoline,30,111,16.3,44,1
1,gasoline,30,110,16.1,42,1
1,gasoline,30,110,15.2,40,1
1,gasoline,30,110,15.2,38,1
1,gasoline,30,110,14.8,36,1
1,gasoline,,108,14.4,35,1
1,,30,108,14.2,34,1
1,gasoline,30,92,13.2,33,1
1,gasoline,30,89,14.2,32,1
1,gasoline,30,89,13.5,30,1
1,gasoline,30,89,12.3,28,1
1,gasoline,30,90,12,27,1
1,gasoline,30,92,12.5,26,1
1,gasoline,30,108,11.5,25,1
1,gasoline,30,107,12.3,24,1
1,gasoline,30,106,11.5,23,1
1,gasoline,,88,11.9,22,1
1,gasoline,30,87,12,21,1
1,gasoline,30,106,11.5,20,1
1,gasoline,,,12.3,19,1
1,gasoline,30,86,11.6,18,1
1,gasoline,30,85,11,17,1
1,gasoline,30,89,10.9,16,1
1,gasoline,30,90,10.3,15,1
1,gasoline,30,89,10.7,14,1
1,gasoline,,86,10,13,1
1,gasoline,30,85,10.7,12,1
1,gasoline,30,92,10.9,11,1
1,gasoline,30,90,12,10,1
1,gasoline,30,97,11.8,9,1
1,gasoline,30,92,11.3,8,1
1,gasoline,30,89,11.3,7,1
1,gasoline,30,87,11,6,1
1,gasoline,30,88,10.2,5,1
1,gasoline,30,87,9.2,4,1
1,gasoline,30,86,7.4,3,1
1,gasoline,30,78,4.5,2,1
1,gasoline,30,75,,1,0
1,gasoline,40,104,0,75,0
1,gasoline,40,96,0,72,0
1,gasoline,40,96,0,70,0
1,gasoline,40,96,0,68,0
1,gasoline,40,96,1.3,67,1
1,gasoline,40,101,3.2,66,1
1,gasoline,40,102,4.5,65,1
1,gasoline,40,106,12.3,60,1
1,gasoline,40,107,9.2,55,1
1,gasoline,40,108,13.9,52,1
1,gasoline,40,94,13.9,51,1
1,gasoline,40,,13.5,50,1
,gasoline,40,93,14.5,48,1
1,gasoline,40,107,14.4,47,1
1,gasoline,40,107,14.5,46,1
1,gasoline,,107,14.9,45,1
1,gasoline,40,107,15.2,44,1
1,gasoline,40,107,15.2,42,1
1,gasoline,40,108,14.8,40,1
1,gasoline,40,110,14.4,38,1
1,gasoline,40,110,14.4,36,1
1,gasoline,40,109,14.9,35,1
1,gasoline,40,107,14.4,34,1
1,gasoline,40,108,14.4,33,1
1,gasoline,40,106,14.5,32,1
1,gasoline,40,91,14.9,30,1
1,gasoline,40,92,14.1,28,1
1,gasoline,40,93,14.4,27,1
1,gasoline,40,106,13.5,26,1
1,gasoline,40,92,13.5,25,1
1,gasoline,40,90,12.5,24,1
1,gasoline,40,90,12.3,23,1
1,%%,40,87,13.2,22,1
1,gasoline,40,89,13.1,21,1
1,gasoline,40,90,12.3,20,1
1,gasoline,40,88,12,19,1
1,gasoline,40,86,11.5,18,1
1,gasoline,40,85,11.3,17,1
1,gasoline,40,92,11.5,16,1
1,gasoline,40,91,10.4,15,1
1,gasoline,40,89,10.9,14,1
1,gasoline,40,87,10,13,1
1,gasoline,40,90,10,12,1
1,gasoline,40,91,10.3,11,1
1,gasoline,40,90,10,10,1
1,gasoline,40,91,11.3,9,1
1,gasoline,40,91,11.5,8,1
1,,40,90,,7,1
1,gasoline,40,87,11.2,6,1
